DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Weapon Desc,Status Desc,LOCATION
222014236,8/12/2022,7/28/2021,1,Olympic,THEFT OF IDENTITY,35,M,K,,Invest Cont,2800    JAMES M WOOD                 BL
221609460,6/13/2022,10/4/2021,2000,Foothill,VEHICLE - STOLEN,0,,,,Invest Cont,7900    FOOTHILL                     BL
220910828,6/27/2022,1/1/2021,800,Van Nuys,THEFT OF IDENTITY,62,M,H,,Invest Cont,15600    VANOWEN                      ST
221415483,8/20/2022,1/9/2021,1200,Pacific,THEFT OF IDENTITY,69,M,W,,Invest Cont,2500    PACIFIC                      AV
222019652,12/24/2022,1/12/2021,1200,Olympic,THEFT OF IDENTITY,42,M,H,,Invest Cont,100 S  MARIPOSA                     AV
232108608,5/2/2023,5/24/2021,1000,Topanga,DOCUMENT FORGERY / STOLEN FELONY,60,M,O,,Invest Cont,6100    COUNTY OAK                   RD
220815166,10/3/2022,7/5/2021,5,West LA,"BUNCO, GRAND THEFT",35,F,W,,Invest Cont,1700    BELOIT                       AV
222013763,8/15/2022,5/1/2021,1200,Olympic,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,,,,Invest Cont,2800    SAN MARINO                   ST
230506138,2/26/2023,4/19/2021,1200,Harbor,THEFT OF IDENTITY,52,F,B,,Invest Cont,28000 S  WESTERN                      AV
221913872,8/30/2022,11/1/2021,1600,Mission,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),11,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,13300    GRIDLEY                      ST
220514463,10/3/2022,12/8/2021,800,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,X,X,,Invest Cont,800    REEVES                       AV
220619862,12/6/2022,7/20/2021,1100,Hollywood,THEFT OF IDENTITY,43,M,W,,Invest Cont,1800 N  KINGSLEY                     DR
221915224,10/2/2022,2/1/2021,1910,Mission,THEFT OF IDENTITY,22,F,H,,Invest Cont,8400    BURNET                       AV
230310561,5/8/2023,3/3/2021,800,Southwest,THEFT OF IDENTITY,29,F,H,,Invest Cont,3900    BRIGHTON                     AV
